trading_date,timestamp,script_name,direction,breakout_true,blocked_at,block_reason,block_value,close_price,volume,volume_ma20,ema_fast,ema_slow,ema_direction,kaufman_er,kaufman_threshold,kaufman_pass,adx,adx_prev,adx_threshold,adx_confirmed,rsi,davb_upper,davb_lower,davb_window,davb_vol_coeff,davb_breakout
2026-08-17,2026-08-17 11:50:02,NIFTY,LONG,FALSE,F2_KAUFMAN_ER,Kaufman ER chop/noise trap (overrides EMA),ER=0.2775 < thr=0.40,24254.35,18785.0,29708.25,24248.466455540052,24247.042393800548,BULL,0.27749747729564467,0.4,FALSE,44.134310063598484,46.19370121152478,16.0,FALSE,45.33029007280168,24256.1,24227.4,10,18.573426066796845,
2026-08-17,2026-08-17 11:55:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=43.30 prev=46.19 thr=16.0,24263.3,0.0,23140.0,24251.449788873386,24248.320965229123,BULL,0.4060822898032489,0.4,TRUE,43.29637298270122,46.19370121152478,16.0,FALSE,50.54573093423484,24256.1,24227.4,10,20.147888580559524,LONG
2026-08-17,2026-08-17 12:00:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=40.74 prev=43.30 thr=16.0,24271.75,22880.0,24284.0,24258.21652591559,24251.667970196395,BULL_HOLD,0.6090985678180681,0.4,TRUE,40.738921534546485,43.29631359780311,16.0,FALSE,55.01974318539466,24272.35,24227.4,10,19.494248939642887,
2026-08-17,2026-08-17 12:05:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=36.32 prev=38.45 thr=16.0,24267.35,13845.0,23409.75,24262.946233740266,24255.638712797354,BULL_HOLD,0.47138554216867923,0.4,TRUE,36.322897038566104,38.44912901691204,16.0,FALSE,52.34584051539677,24274.85,24227.4,10,19.140669002867924,
2026-08-17,2026-08-17 12:10:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=37.77 prev=40.68 thr=16.0,24264.65,0.0,21641.75,24262.01656741969,24255.15664891553,BULL_HOLD,0.40978816654493966,0.4,TRUE,37.77431651535118,40.6795166986209,16.0,FALSE,50.79963161983859,24275.25,24227.8,10,20.074328128044026,
2026-08-17,2026-08-17 12:15:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=33.11 prev=35.47 thr=16.0,24272.9,5005.0,21892.0,24267.418474408754,24259.508966550187,BULL_HOLD,0.6020942408376657,0.4,TRUE,33.10666589169686,35.46517593747645,16.0,FALSE,55.337915894197515,24275.25,24229.4,10,21.186012581322885,
2026-08-17,2026-08-17 12:20:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=34.05 prev=35.47 thr=16.0,24286.1,390.0,18531.5,24271.818474408752,24261.394680835903,BULL_HOLD,0.6765957446808097,0.4,TRUE,34.052039308103026,35.46517593747645,16.0,FALSE,61.323282328808766,24275.25,24229.4,10,22.67467161527732,LONG
2026-08-17,2026-08-17 12:25:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=31.57 prev=32.76 thr=16.0,24286.4,20345.0,19529.25,24279.91932195945,24268.028745103937,BULL_HOLD,0.7625000000000455,0.4,TRUE,31.567678465450836,32.76398018226628,16.0,FALSE,61.449702993456114,24287.55,24236.85,10,21.463682833101995,
2026-08-17,2026-08-17 12:30:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=31.83 prev=32.76 thr=16.0,24289.9,130.0,14186.25,24281.085988626117,24268.528745103937,BULL_HOLD,0.7748148148148579,0.4,TRUE,31.833095479682168,32.76398018226628,16.0,FALSE,62.97073451344335,24287.55,24236.85,10,22.222610438257657,LONG
2026-08-17,2026-08-17 12:35:02,NIFTY,LONG,FALSE,F3_ADX,ADX velocity not confirmed (must be above thr and rising),ADX=31.42 prev=31.62 thr=16.0,24294.7,28405.0,15600.0,24288.849328278277,24275.582343341674,BULL_HOLD,0.6999117387467878,0.4,TRUE,31.42315373161427,31.620479745257395,16.0,FALSE,64.65575364147624,24299.55,24243.35,10,23.41183120890612,
2026-08-17,2026-08-17 12:40:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=65.76 need<55.0,24296.55,195.0,14582.75,24289.46599494494,24275.84662905596,BULL_HOLD,0.7319223985891028,0.4,TRUE,31.673305710068945,31.620479745257395,16.0,TRUE,65.76499134307213,24299.55,24243.35,10,24.587871092198373,
2026-08-17,2026-08-17 12:45:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=69.45 need<55.0,24305.65,11635.0,15060.5,24297.957108864422,24283.47813563295,BULL_HOLD,0.68724279835396,0.4,TRUE,32.038657327273064,31.837216879840657,16.0,TRUE,69.45240212298474,24304.95,24257.55,10,25.770641488020217,LONG
2026-08-17,2026-08-17 12:50:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=74.86 need<55.0,24322.85,3250.0,20289.75,24303.690442197752,24285.935278490095,BULL_HOLD,0.7689969604863511,0.4,TRUE,33.30760943414962,31.837216879840657,16.0,TRUE,74.86104737594874,24304.95,24257.55,10,28.874209788992662,LONG
2026-08-17,2026-08-17 12:55:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=76.91 need<55.0,24330.7,39975.0,22126.0,24318.27352986567,24297.578980115173,BULL_HOLD,1.0,0.4,TRUE,36.285986930847905,34.8522032083888,16.0,TRUE,76.9079774459755,24335.45,24257.55,10,31.312783512991864,
2026-08-17,2026-08-17 13:00:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=77.68 need<55.0,24333.85,975.0,23175.75,24319.32352986567,24298.028980115174,BULL_HOLD,1.0,0.4,TRUE,36.17494038163819,34.8522032083888,16.0,TRUE,77.67904092291097,24335.45,24257.55,10,32.598383937856106,
2026-08-17,2026-08-17 13:05:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=79.99 need<55.0,24343.95,68380.0,26546.0,24332.94934660697,24310.181495594825,BULL_HOLD,1.0,0.4,TRUE,39.83821185199044,38.074446086608965,16.0,TRUE,79.99057074076559,24353.7,24270.85,10,32.79863289247844,
2026-08-17,2026-08-17 13:10:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=75.79 need<55.0,24338.75,65.0,26061.75,24331.21601327363,24309.438638451968,BULL_HOLD,0.8417266187050201,0.4,TRUE,39.83821185199044,38.074446086608965,16.0,TRUE,75.78935506703664,24353.7,24270.85,10,34.75377941910203,
2026-08-17,2026-08-17 13:15:02,NIFTY,LONG,FALSE,F3B_RSI_ENTRY,RSI not below long entry threshold (oversold gate),rsi=77.53 need<55.0,24346.1,15665.0,26841.75,24336.021230712642,24314.548515918978,BULL_HOLD,0.8390313390312992,0.4,TRUE,40.93819995676988,39.22661967198354,16.0,TRUE,77.52830951058804,24352.3,24282.0,10,36.09312234160193,
